Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,WhatsApp 1,WhatsApp 2,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Animal Hospital,,Ветеринарные клиники,"Александр Кравцов улица, 14Б",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-13:00,+05:00,3.6,35,87002707803,,,,,,,,https://wa.me/77002707803,https://wa.me/77014705735,,,,51.156662,71.448631,https://2gis.com/firm/70000001059366436,branch
Animal Planet,ветеринарная клиника,Ветеринарные клиники; Ветеринарные лаборатории,"улица Казанат, 7",,,Караоткель-2 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,190,87773997709 (клиника),,,animalplanetvetkz@gmail.com,,,https://instagram.com/animalplanet.vet,,https://wa.me/77773997709,,,,,51.146195,71.408367,https://2gis.com/firm/70000001099051708,branch
Aqtaban,ветеринарный лечебно-диагностический центр,Ветеринарные клиники; Ветеринарные аптеки; Ветеринарные лаборатории; Зоотовары,"улица Максут Нарикбаев, 22",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,335,87088038198,,,,,,https://instagram.com/vetklinikaaqtaban,,https://wa.me/77088038198,,,,,51.145696,71.384214,https://2gis.com/firm/70000001092065466,branch
Aqtaban,ветеринарный лечебно-диагностический центр,Ветеринарные клиники; Ветеринарные лаборатории; Ветеринарные аптеки; Зоотовары; Выездные ветеринары,"переулок Нурлы, 12",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,1271,87473848741,,,,,,https://instagram.com/vetklinikaaqtaban,,https://wa.me/77775117099,,,,,51.136439,71.476612,https://2gis.com/firm/70000001045298714,branch
Astana,ветеринарный центр,Ветеринарные клиники; Ветеринарные лаборатории; Ветеринарные аптеки,"улица Достык, 8",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,36,87075888808,,,zzauir@mail.ru,,,https://instagram.com/zooclinic.astana,,https://wa.me/77075888808,,,,,51.126359,71.419276,https://2gis.com/firm/70000001102715224,branch
Astana,ветеринарный центр,Ветеринарные клиники; Ветеринарные лаборатории; Ветеринарные аптеки; Зоотовары,"проспект Сарыарка, 48/2",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,893,87078882263,,,zzauir@mail.ru,,,https://instagram.com/zooclinic.astana,,https://wa.me/77078882263,,,,,51.177363,71.407135,https://2gis.com/firm/70000001045543800,branch
Demeu,ветеринарная клиника,Ветеринарные клиники,"улица Габит Мусрепов, 5/2",цокольный этаж,,Аль-Фараби м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-15:00; Вт: 11:00-15:00; Ср: 11:00-15:00; Чт: 11:00-15:00; Пт: 11:00-15:00,+05:00,2.9,23,87172231409,87014195029,,,,,,,https://wa.me/77014195029,,,,,51.153121,71.500941,https://2gis.com/firm/70000001020524618,branch
dr. Cat Begemot,ветеринарная клиника,Ветеринарные клиники; Ветеринарные лаборатории; Выездные ветеринары,"проспект Республики, 30",цокольный этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.4,97,87088266790,,,,,,,,,,,,,51.168053,71.427286,https://2gis.com/firm/70000001019592168,branch
Love Animals,ветеринарный лечебно-диагностический центр,Ветеринарные клиники,"улица Карасакал Еримбет, 57",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,767,87714700852,,,lavetclinickz@gmail.com,http://n835625.alteg.io,,https://instagram.com/la_vetclinic,,https://wa.me/77714700852,,,,,51.138031,71.41798,https://2gis.com/firm/70000001047680304,branch
Ohana,зоомагазин,Ветеринарные клиники; Зоотовары,"улица Касыма Аманжолова, 20",НП: 14,010000,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,5.0,30,87714063706,,,ohana.zoo@mail.ru,,,https://instagram.com/Zoo_ohana,,https://wa.me/77714063706,,,https://t.me/+77714063706,,51.113842,71.471692,https://2gis.com/firm/70000001103037334,branch
